Pregunta,Respuesta
¿Qué tan cómodo te sientes al expresar tus ideas en grupo?,Muy cómodo
¿Consideras que eres un buen oyente cuando otros comparten sus ideas?,Generalmente sí
¿Cómo te sientes al trabajar en equipo en proyectos escolares o extracurriculares?,Muy cómodo
¿Qué rol prefieres asumir cuando trabajas en equipo?,Facilitador
¿Qué tan importante consideras que es la colaboración para el éxito de un proyecto?,Importante
¿Cómo reaccionas cuando te enfrentas a un problema difícil en tus estudios?,Me rindo fácilmente
¿Con qué frecuencia buscas nuevas maneras de resolver problemas?,Raramente
¿Qué tan fácil te resulta adaptarte a nuevas situaciones o cambios?,Muy fácil
¿Cómo te sientes al aprender nuevas herramientas o métodos de estudio?,Neutral
¿Cómo manejas tu tiempo al realizar tareas o estudiar para exámenes?,Trabajo sin mucha planificación
¿Qué tan efectivo consideras que es tu manejo del tiempo?,Poco efectivo
¿Con qué frecuencia cuestionas la información que recibes antes de aceptarla?,Algunas veces
